ID,Item_type,Study_Title,Document_Reference,Author_1st,Author_2nd,Author_3rd,Author_4th,Author_5th,Author_6th,Publication_year,Country_application,Specific_Location_1,Specific_Location_2,MAR_Type_1,MAR_Type_2,MAR_Type_3,MAR_Type_4,Criteria_Group_1,Criteria_Group_2,Criteria_Group_3,Criteria_used_Original,Criteria_used_Modified,Criteria_weight,Subcriteria_Min_weight,Subcriteria_Max_weight,Standardized_criteria_weight(%),Criteria_importance_rank,Criteria_weights_assigment,Combination_rules,Constraint_mapping,Constraint_mapping_what,Sensitivity_Analysis,Water_Sorce,Main_objective,Groundwater_potential_zones
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Landforms,Geomorphology,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Land use/ land cover,Land use/ land cover,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Aquifer characteristics,Storage capacity,Water table level fluctuation,Water table level fluctuation,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Landforms,Geomorphology,1,5,70,25,1,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,200 m buffer around lineaments,Distance to Lineaments / Faults,1,10,10,3.57142857142857,3,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Over surface water bodies,Presence of surface water bodies,NA,NA,NA,NA,NA,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,1,10,50,17.8571428571429,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,1,5,50,17.8571428571429,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil type,Soil type,1,5,50,17.8571428571429,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
003,Journal Article,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",J. Krishnamurthy,N. Venkatesa Kumar,V. Jayaraman,M. Manivel,,,1996,India,Marudaiyar River basin,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,1,10,50,17.8571428571429,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Infiltration rate,Hydrological soils,1,0.01,0.95,31.1475409836066,1,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Dry alluvial thickness,Dry alluvial thickness,1,0.01,0.8,26.2295081967213,2,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Water quality,Groundwater quality,Groundwater quality,Electrical Conductivity (groundwater),Groundwater quality - Electrical conductivity,1,0.01,0.6,19.672131147541,4,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use,Land use/ land cover,NA,NA,NA,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,NA,NA,NA,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
004,Journal Article,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",J. Ghayoumian,M. Mohseni Saravi,S. Feiznia,B. Nouri,A. Malekian,,2006,Iran,Gavbandi River Basin,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,1,0.01,0.7,22.9508196721311,3,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 µmhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Management criteria,Socio-environmental impact,Socio-environmental impact,Distance to urban areas,Distance to urban areas,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Management criteria,Economic criteria,Economic criteria,Distance to the supply well,Distance between water supply sources and MAR site,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Management criteria,Economic criteria,Economic criteria,Distance to treatment plants,Distance between water supply sources and MAR site,20,1,10,20,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Management criteria,Socio-environmental impact,Socio-environmental impact,Distance to the roads,Distance to roads,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use,Land use/ land cover,20,1,10,20,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Water quality,General,General,Pollution risk,Pollution risk,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Depth to groundwater,Groundwater level,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
005,Journal Article,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",Peter H.S. Riad,Max Billib,Ahmed A. Hassan,Maha Abdel Salam,Mohamed Nour El Din,,2011,Egypt,River Nile Delta,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land Slope,Slope,10,1,10,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Geology,Geology / Lithology,0.18,1,7,20.1117318435754,2,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,0.11,1.5,4,7.02314445331205,5,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,0.13,1.2,6.5,13.487629688747,4,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil texture,Hydrological soils,0.05,2,5,3.99042298483639,7,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Aquifer characteristics,Water flow capacity,Aquifer transmissivity,Aquifer transmissivity,0.08,1.5,5,6.38467677573823,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Specific yield,Groundwater yields,0.08,1.5,5,6.38467677573823,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,0.16,1,7.5,19.1540303272147,3,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
006,Journal Article,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",Amanpreet Singh,S. N. Panda,K. S. Kumar,Chandra Shekhar Sharma,,,2013,India,Bist Doab basin,Bist Doab basin,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,0.21,1,7,23.463687150838,1,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
